UMAP_1,UMAP_2,Cluster
1.733863,-0.6881062,3
2.1321406,-0.08452323,3
-2.0133486,7.117698,4
-0.2595491,8.710802,0
-4.1704235,14.286408,9
-2.7972815,9.269944,7
-3.6863506,10.427297,0
4.074318,9.779075,6
4.457795,8.211401,1
-1.9479165,8.453118,0
-3.2460988,12.351531,9
6.4868064,7.2273583,1
7.749443,4.3662095,8
7.3330283,4.374621,8
7.348744,4.3594666,8
7.0600004,4.364594,8
5.3798275,10.16365,6
8.80411,5.096448,8
1.7831856,-1.623097,3
-0.79831785,16.240076,2
-0.78154755,15.997825,2
-1.0893931,17.869705,2
-0.9305468,16.56635,2
-4.6142383,14.320295,9
-5.3685284,14.73836,9
-4.934995,14.36952,9
-3.6571667,13.52551,9
-4.5872817,14.17567,9
-6.016975,10.451752,7
-4.04236,12.892806,9
-4.002453,13.316423,9
-4.4616623,13.6322,9
-2.8261344,12.068508,9
1.5602885,13.216289,5
-3.160183,11.758552,9
-1.0414096,7.079758,0
-0.27134666,7.582825,0
-0.8670219,7.1338105,0
-1.3306992,6.0084968,4
-2.8386207,9.27018,7
0.25546646,9.34898,0
7.776729,4.411109,8
-1.0365608,15.735722,2
1.1544718,1.0999002,4
-1.3543891,9.666973,0
4.1375966,12.512023,5
0.83696944,7.486974,8
-2.635447,10.561531,0
-1.070148,7.344787,0
-5.0809126,11.51514,7
2.714698,8.500818,4
-1.4395523,7.7583046,0
-2.6932619,15.5720825,2
6.685386,7.5997925,1
-1.6668124,3.786072,4
-0.32365915,8.31658,0
-1.1583775,8.317031,0
-0.39020124,9.672098,0
1.65963,1.1871207,0
-0.7979092,8.640491,0
-0.8398776,9.761924,0
4.393171,12.493165,5
-1.4613756,5.968671,4
-2.7375686,6.0319686,4
2.325762,7.1071134,1
-1.3005515,2.7382593,4
2.5668128,15.469273,5
3.5220747,8.24794,1
7.638672,8.08652,1
-2.7345397,16.439903,2
-2.0653446,14.29033,0
-5.251385,13.630783,9
5.2326145,13.077421,5
4.597289,9.43426,6
-2.0594976,9.774611,0
2.7917817,8.451521,1
-4.8074636,14.328962,9
-4.431888,13.951778,9
1.5586672,-2.493203,3
2.0435925,13.988929,5
-1.6606796,5.8133626,4
2.3170948,13.984606,5
8.258704,4.36873,8
1.9775636,13.506437,5
-2.276083,10.366165,0
0.2556007,12.498091,5
0.72012407,6.5313582,5
2.1775749,10.188695,6
-3.66302,14.577704,9
-4.90983,13.928478,9
-4.017022,12.950835,9
-5.1491528,14.107029,9
-4.4024596,13.153168,9
3.6171901,9.703134,6
-5.916995,11.941689,7
-6.0563803,11.532792,7
-3.0069897,12.648621,9
1.3066764,8.519202,0
3.1241553,7.5414686,4
-3.817951,13.74214,9
-3.0450933,15.3483305,9
4.904286,11.143722,6
2.179,-2.04585,3
2.490428,10.789788,6
4.8266897,9.468137,6
2.2161078,0.55778754,3
4.043526,10.720294,6
1.9463687,13.05472,5
-1.7749902,3.0440784,4
2.7447262,13.664048,5
3.6500168,14.527529,5
1.9274629,12.926076,5
4.409959,10.9793415,6
-2.0275002,8.70201,0
0.26387352,11.982625,5
-2.3147779,8.417323,0
-0.90006995,10.018862,0
0.5780894,14.542742,2
3.5821772,9.413217,6
-0.98602414,6.2457266,4
3.7359638,6.698217,4
-1.1332829,15.479075,2
-0.95332295,15.000349,2
4.07734,9.642408,6
4.7691426,9.4938965,6
-0.30599684,8.49157,0
-3.0613015,5.9354973,4
-3.292277,12.216084,9
-5.85743,10.907234,7
4.405554,9.395125,6
-3.9097388,14.689918,9
0.30957592,5.486458,4
6.085152,8.8467045,1
-4.014829,9.068425,7
-4.2691126,9.075605,7
1.8618605,9.600129,6
-1.0861108,15.225487,2
-5.990292,10.357868,7
-3.6932206,13.657768,9
0.84895253,11.944136,5
-2.5713432,2.7210202,4
5.2207036,8.548135,1
-2.3264382,11.705333,9
3.16882,14.468355,5
4.6624255,10.619919,6
-3.5681765,14.574885,9
-2.2267504,3.4177928,4
-4.974406,14.134244,9
2.94642,9.64629,7
-1.3948069,2.678831,4
-1.7079358,4.7346125,4
-3.0862885,12.158489,9
1.4936451,14.931328,5
5.7289376,7.515246,1
-1.4006382,8.447603,0
-1.2825102,2.9735374,4
-3.5027027,14.126455,9
2.929291,14.907146,5
-5.267015,14.346872,9
-3.5104346,11.094395,9
-2.8778024,10.342534,0
-2.457113,5.124959,4
3.608372,11.1837,6
3.0787566,11.476159,6
5.453185,12.344072,5
1.4102573,11.473817,5
0.42796955,9.684338,6
-2.0224564,2.262181,4
-0.52984864,15.369681,2
3.057806,15.806265,5
-2.077752,2.135864,4
2.0098655,-2.8850043,3
2.0718672,-1.9763486,3
2.2373037,-1.4567608,3
-3.6190894,13.010453,9
-0.7503349,6.543267,4
0.5864473,5.6972084,8
3.9364848,9.807151,6
-2.2615645,12.935062,9
-0.9756255,5.591833,4
2.52971,12.497265,5
2.479255,12.435304,5
-5.3057346,14.630994,9
6.754429,6.4666777,1
-6.316291,9.045522,7
5.2459707,12.502346,1
-0.8125865,4.491992,4
-0.5455435,16.211271,2
3.6851866,15.200703,5
4.274029,8.804568,1
4.8616486,10.034189,6
4.639898,13.43709,5
2.2395957,10.725747,6
2.8328645,11.248256,6
-5.396928,9.420038,7
2.0822701,-0.08723669,3
1.802318,0.8626479,3
1.7883022,-0.101441324,3
1.9775617,-1.0666097,3
-2.2833035,15.027192,2
1.5675634,15.123216,9
-1.8019463,3.708093,4
2.1550527,15.385996,5
5.1735835,11.070688,6
0.62152165,14.556509,2
4.3864884,10.7686405,6
-1.7765974,8.883924,0
-3.0330179,6.4586906,4
-3.9760778,15.294648,9
-1.7386596,11.398928,9
1.5518346,-0.7570303,3
1.5697044,-0.43809852,3
1.8480632,-1.3347751,3
-2.08582,4.425714,4
4.208373,15.811943,5
-2.1531928,4.7467246,4
-2.4388032,4.798052,4
4.222388,13.958509,5
-0.8497289,15.253401,2
2.514246,8.851868,6
0.2130308,12.760932,5
-3.410017,15.708853,9
-6.7979984,10.123745,7
-2.7663426,15.513513,2
2.6268942,14.8118,5
3.1765919,13.708938,5
-2.397684,12.980969,9
-2.0981944,12.121705,6
3.2045655,10.337,6
2.390627,10.116852,6
2.933027,6.5650415,4
2.186718,15.458121,5
-2.4807484,17.047852,2
6.754597,5.902149,1
4.9723396,8.664398,1
-4.1636295,14.359083,9
-1.2904081,16.327572,2
2.9162743,7.5928707,4
3.2557101,8.853764,1
0.73051465,12.752558,5
-1.4216746,10.895256,0
1.2199569,9.170874,6
0.14204404,7.4293275,0
-1.7793119,9.744337,0
-3.69797,9.571194,7
-1.1334532,15.132399,2
2.26214,11.921865,9
-3.5777109,10.74316,5
-1.1871165,4.402823,4
-1.7038409,16.409437,2
-1.8451674,10.889558,0
2.839833,9.456711,7
-5.167402,13.812663,9
2.8638854,9.207528,6
2.3472264,8.842384,6
2.4698184,9.45116,6
-5.371824,12.851194,9
5.489451,11.888391,1
-4.7305503,14.710181,9
4.8816695,9.321278,7
-5.8764076,10.504426,7
-5.2294707,9.572955,7
-2.0470612,9.602116,0
-0.9297076,9.337356,0
-2.3105032,15.115855,7
5.2221556,12.487317,5
-1.3969661,10.407635,0
-1.3287015,10.543567,0
-1.2709192,7.5273695,0
-2.071172,4.9757566,4
-3.6362672,10.750239,7
-2.0934548,14.30355,9
-2.7182767,2.6152604,4
-3.9308906,8.661161,7
-4.900898,11.320985,7
-5.276963,9.484397,7
-5.2818017,8.995708,7
4.8096294,8.058834,1
7.0375667,8.950458,1
-3.9557626,11.433651,9
4.218069,9.393002,6
-1.0185144,8.697974,0
3.4709864,14.604519,5
-3.461342,10.131093,0
-2.080985,15.502049,2
-3.1006062,9.674212,0
-2.564394,5.3127995,4
-1.9497173,10.350875,0
-1.9612788,6.1083207,4
0.0035551148,6.743038,0
-1.0963497,8.802945,0
5.1421804,9.178621,1
-4.20571,14.993413,9
-0.84103996,5.7419524,4
-2.229594,16.207066,2
-1.9797721,14.406879,9
-1.4193026,3.1050415,4
-1.291645,3.4076173,4
4.0841284,9.490855,6
-2.7556252,11.814879,9
4.36307,10.582196,6
-2.8391397,2.6789062,4
3.164161,13.2327,5
-2.2079659,14.874564,4
-2.5405836,13.119465,9
1.4466293,7.65683,8
1.7557044,13.145852,5
-3.9869168,9.590136,7
-1.118198,3.791084,4
6.36624,10.381221,1
-5.9151278,9.218972,7
4.2965603,9.124173,1
1.9005765,-1.1030723,3
-1.5790391,5.2356844,4
2.1656752,13.212794,5
-6.399701,9.061886,7
3.173635,14.363249,5
0.67906773,9.515623,0
-5.446246,10.597029,7
2.6381333,10.144965,6
-0.22360142,9.655291,0
-5.2040777,13.104653,9
2.9611773,10.044773,6
3.495389,14.315168,5
-1.93634,2.7231433,4
1.3474241,8.450812,1
5.1144505,10.713255,6
-0.40103137,15.778796,2
-1.0503683,10.500939,9
-0.4688995,11.047447,5
-2.3152661,16.216152,2
-4.122046,15.334032,9
-3.8939264,7.06129,7
2.2005188,15.423828,5
-6.4492784,9.499886,7
3.0137973,13.567664,5
9.397039,4.3369436,8
8.288635,4.3035774,8
1.5076797,-0.5033901,3
-4.057982,11.873938,9
3.3606014,11.146689,6
4.6287403,12.802705,5
-1.1696662,3.8819213,4
-0.84493595,4.199555,4
-0.46386188,4.346112,4
-0.92525005,4.122122,4
-0.4432954,4.4517894,4
-1.4543076,3.1452138,4
-1.1253457,3.513619,4
-0.6549347,3.6612706,4
-0.22028002,5.5819893,4
3.2872329,11.457653,6
-3.4749787,13.977493,9
1.56447,13.563441,5
1.7233224,8.0746565,1
-2.1952865,3.0299652,4
-0.96168715,3.3441164,4
-2.6922553,12.929399,9
-2.4121063,12.5192995,9
1.8663688,15.382599,5
-4.895182,11.106498,7
-2.385832,14.42606,4
4.518622,11.179491,6
-3.083318,8.827041,0
-3.013892,7.581574,0
6.410138,8.027668,1
-2.4476786,6.5235724,0
11.594408,5.288581,8
9.033998,4.1731744,8
8.966609,4.1971445,8
2.3743021,13.174121,5
0.4114183,8.470864,0
1.1409296,8.332611,0
0.33131132,8.423418,0
7.231336,4.5424967,8
1.9087763,12.485487,7
-2.600214,16.48945,2
1.075638,7.15274,8
1.9196695,13.057054,5
4.953594,8.030887,1
-0.7892751,4.553214,4
-5.0004425,14.217802,9
1.114459,12.726122,8
1.474398,0.7767245,3
-3.6271605,8.5807495,7
1.4513943,0.196243,3
2.2087333,1.1064141,1
9.396537,4.9651713,8
2.0889163,14.786235,5
-1.6850542,9.316128,0
1.8485636,12.696222,7
2.9248524,13.323662,5
4.806684,10.056617,6
3.1966136,10.244378,6
3.3734455,9.700232,6
-1.0610995,17.36415,2
5.200575,10.66068,6
-1.2059991,18.316021,2
4.175716,8.570088,1
-2.6746602,9.379106,7
1.8298713,9.522949,6
-3.9730268,10.127958,7
-1.7887834,17.238516,2
-3.3794248,13.753929,9
-1.21573,12.802593,9
5.0161486,7.8751907,1
3.1037488,14.697457,5
1.8481749,12.439031,5
-6.031241,9.168005,7
4.480903,12.977692,5
-4.9725804,10.08002,7
0.40648973,14.811372,5
3.308383,9.18687,6
-1.3745927,8.433388,0
0.40567008,6.3636813,8
0.5234378,6.0625644,4
-3.604902,13.436666,9
1.4726347,-0.9129895,3
1.6747967,-2.9024243,3
-0.5571219,4.601258,4
1.6735698,14.6999,5
-4.993802,13.419942,9
6.1479125,8.82381,1
5.132197,9.200239,1
3.442442,8.958591,6
3.666166,9.0958605,6
-4.9556136,9.42259,7
-4.027401,13.885263,9
4.4861374,7.002833,1
7.4857974,8.719666,1
7.35986,9.479627,1
-3.3894122,14.1775875,9
-3.3793845,14.134514,9
1.6858299,-2.4428842,3
8.173033,5.2893558,8
-1.6291444,5.478399,4
5.1359487,13.130292,5
6.3258896,9.323472,1
-4.867735,14.579276,9
1.9429054,-1.545343,3
-3.8505008,11.638273,9
3.1367035,14.122645,5
-4.7899227,12.949228,9
-3.6362565,13.82198,9
1.4313873,14.8320465,9
6.5285335,9.098575,1
0.8367495,12.738209,5
-1.070539,12.717223,9
1.0082132,13.633502,5
-5.5806346,10.631759,7
2.6921117,12.615361,5
-3.566663,12.571665,9
-1.3078755,18.588102,2
-4.769679,8.860461,7
9.314106,4.5002394,8
-5.5040307,9.494624,7
3.9705062,13.616255,5
4.292964,9.108601,1
-4.762511,13.166106,9
-3.3677716,5.970971,4
3.849341,10.009164,6
1.4879588,0.89030826,0
-0.18139218,9.23265,0
4.0983415,7.8604136,1
-3.3421907,13.292095,9
-2.5409198,9.117661,0
-6.2706556,10.595343,7
3.1901667,11.445496,1
-1.0495749,4.3983006,4
-4.311186,11.153988,7
9.4447365,4.2627425,8
10.493693,4.6845326,8
3.552552,9.399642,6
-2.3785107,12.693718,9
11.115539,4.939333,8
3.443685,10.205884,6
-3.850674,10.461323,7
-1.6265839,15.369871,2
4.7198687,12.575888,5
2.7176366,15.105132,5
-1.171806,9.632101,0
-0.9718485,8.999959,0
-2.361334,15.979158,2
-1.7550975,16.087969,2
7.3828917,8.130039,1
7.030077,7.9903355,1
-1.8161279,5.6852646,4
2.0167572,5.102707,4
-4.7703123,11.325411,7
-3.2873857,12.036346,9
-6.0483336,10.7358465,7
-4.4758606,13.282269,9
2.35029,15.096622,5
-1.2280358,8.999178,0
-5.70855,14.832741,9
5.5274196,11.542219,1
-4.037507,9.6699095,7
-4.230346,10.237995,7
-0.5772228,9.194546,0
6.4232965,9.121515,1
0.52249223,5.019368,4
1.733434,12.391311,5
-2.4560366,2.2911425,4
-1.3696185,2.4493139,4
0.50918716,5.7959576,4
0.47000784,6.3910246,4
0.53898287,6.4863715,4
3.243812,14.23827,5
-2.5066106,4.8234277,4
0.71415156,5.43604,8
3.026937,8.343581,6
-1.3526819,18.962912,2
-6.976733,9.525391,7
-4.768745,9.665248,7
1.0923747,6.790607,8
3.4041831,11.074081,6
0.17337881,6.3952675,4
0.060152363,7.3198657,4
-0.067897364,7.577969,0
-4.6941495,11.521054,9
2.1383376,14.17634,5
2.1907554,14.34759,5
0.30895206,12.5596285,8
3.7271013,15.023899,5
1.7997531,7.6205573,1
5.956655,9.6466675,1
0.767371,6.8818636,8
-1.9555627,4.49837,4
-0.52965206,5.1962094,4
-0.09488009,15.871078,2
6.5844946,7.4291253,1
-1.3115957,3.4638977,4
4.558249,7.5063076,1
-4.5468597,12.279235,9
3.5253513,5.8761187,4
3.4212966,11.936492,6
-2.2058203,12.465652,9
-0.6540397,6.059768,4
1.2110969,13.713599,5
0.081292264,13.846918,2
-1.0644562,3.4691856,4
2.1400552,13.942696,5
2.6878552,13.921653,5
-2.0272202,16.355452,2
2.2521124,9.073654,6
2.6492164,8.941944,6
-5.6845675,10.179605,7
-0.7348849,9.7282295,0
-1.9008204,11.796478,6
6.756873,10.864955,1
-2.5344107,10.077576,0
-2.17815,15.955902,7
3.8625522,8.223441,1
-2.3702285,12.228843,9
5.961933,9.273458,1
-2.7306037,9.546929,0
1.6623302,-2.46998,3
-6.365311,11.019062,7
-2.6107595,9.23291,0
5.373963,10.441602,1
7.0256424,9.122884,1
-0.50084984,4.310449,4
1.6625865,14.111868,5
1.9402412,14.875317,5
5.358785,12.333945,5
-1.7955322,4.795306,4
-3.483491,11.055234,9
5.071166,7.3989477,1
-3.9866574,14.7324095,9
-3.5515223,12.969095,9
-3.019749,12.125846,9
-4.035447,10.669688,7
-1.2602726,10.280483,0
-0.15272908,16.246655,2
-1.3041114,6.763522,0
-1.4776243,8.883659,0
4.6674848,6.952617,1
-1.9910548,11.009011,0
5.019686,7.9095025,1
-1.178826,17.91044,2
3.8342319,8.520606,1
-0.8565529,9.872291,0
12.4012785,5.5625606,8
4.063092,13.994845,5
-0.61617213,6.2156396,4
8.569304,4.3867583,8
-0.84909594,5.4329653,4
-1.3172572,6.0341997,4
-1.3470782,6.7430778,0
-2.513196,7.396528,7
3.3551636,14.116082,5
-1.7136978,2.944061,4
-3.0350275,10.572015,6
-1.9320552,13.85709,9
-3.475081,14.128514,9
-2.5220964,10.760244,9
2.591809,8.847149,6
3.0880497,13.34024,5
1.8800477,8.99767,6
-3.1077647,12.900893,9
2.2330775,10.15597,6
3.4854717,10.590205,6
-2.0077758,12.124566,6
-2.3427393,12.347139,9
-1.2028514,11.902174,6
-1.0054287,2.7847998,4
-0.07511787,15.68658,4
-4.427043,9.028961,7
-4.799507,11.575966,7
-5.879537,9.6769085,7
0.4552191,8.311461,0
2.3153746,-0.7847933,3
0.3291491,15.004762,2
4.0105624,15.254885,5
-0.5977758,9.020772,0
5.1034746,11.087934,6
4.9693055,10.864621,6
5.0254135,9.280442,1
2.9499521,12.403336,6
4.299748,7.0095725,1
3.1306913,10.5854225,6
3.947528,10.572051,6
2.0793238,10.057242,6
-4.991334,9.181266,7
-0.8378211,6.87386,0
-0.17390946,7.2742906,0
-0.98364145,6.2476315,4
-1.1321172,6.3240347,4
-0.8065706,7.0512133,0
-0.35719123,6.8104773,0
-0.5863672,7.910082,0
-1.9355303,11.488075,9
-0.46742466,9.224858,0
-0.89071846,17.564457,2
1.4334947,14.2429085,5
-5.020624,10.60334,7
7.749398,4.678052,8
3.9398465,10.257143,6
-1.046193,9.484419,0
2.6969137,9.850589,6
-0.0764207,15.031948,2
3.5550961,15.25231,5
1.2216607,0.46638763,3
-3.3678985,13.617902,9
1.5990402,0.35637552,3
-2.0595927,5.38633,4
6.3878455,7.4189963,1
-4.6566677,9.024667,7
-6.763886,9.788879,7
3.342341,12.379883,1
4.973415,11.710541,1
-4.1815953,11.8736515,9
4.7424884,10.27728,6
2.4066045,13.775535,5
-4.1457353,14.656893,9
-5.112382,10.960746,7
-5.439633,9.718597,7
-2.7781496,9.233484,0
-2.653758,11.359374,9
-1.3379766,15.460593,2
5.596388,11.729382,1
3.263653,8.331472,4
3.2415025,15.384814,5
2.6982994,12.092465,5
2.6574678,12.989655,5
2.9416456,11.884591,5
2.66797,12.8881855,5
2.1376526,11.248246,6
4.1139026,15.01495,5
-1.5753838,4.170873,4
1.9218827,-3.0107977,3
-1.990593,8.173936,0
-3.36165,14.962679,9
-1.1629997,15.035092,2
-5.446663,11.451951,7
6.7497864,8.361899,1
-4.2134495,8.747963,7
-0.037142146,15.794665,2
-2.055472,5.465562,4
3.553928,14.647621,5
-0.95972335,17.504084,2
3.776194,10.162689,6
6.440914,10.652469,1
-1.2870947,6.25103,4
6.0389957,8.765805,1
-0.4471474,8.8566475,0
-0.26284763,8.686909,0
-0.38315585,8.679222,0
-0.22638808,8.917433,0
-0.21789856,8.880049,0
-0.27679366,8.555272,0
-0.19152485,8.466141,0
-0.40277836,7.5853662,0
-0.5947073,8.319231,0
7.3566937,4.327581,8
7.650854,4.408617,8
7.33743,4.3413105,8
-3.6891963,11.060401,0
-1.8427683,9.760961,0
1.6296179,13.602083,5
-1.8285773,16.134161,2
4.985706,10.937884,6
4.3005733,7.613748,1
6.051879,7.8983016,1
5.190558,10.348308,6
2.8271925,8.557647,1
1.1528603,7.332296,8
3.647671,10.551868,6
3.556525,5.341836,4
-0.322992,6.6888504,4
4.522414,11.13802,6
1.8786643,14.825303,5
3.1266606,13.913876,5
-5.0662622,8.891625,7
3.2292745,11.317671,6
3.050646,13.679052,5
-5.448049,9.732664,7
-3.1016195,7.7081676,0
1.6008577,15.130795,9
-3.3336096,13.289798,9
2.9622447,15.150641,5
0.8658354,4.612242,4
-4.219272,8.938294,7
5.396053,10.189623,6
4.4634213,9.015489,1
6.6844716,8.430644,1
-3.2594557,7.041272,7
-2.9044151,7.3473783,0
-2.8876681,9.905339,0
-3.0005362,9.070687,0
3.1352487,11.029145,6
-1.3799314,9.523144,0
-1.6736772,5.7416296,4
-1.9007533,17.454506,2
-0.95611703,2.8940215,4
7.6072693,4.3292956,8
6.156619,9.611696,1
-1.2930871,5.9999323,4
-0.9562674,6.1303086,4
5.180402,9.596804,6
-3.2752743,10.317106,7
2.3028495,13.463432,5
-2.5836499,9.132404,0
-4.9301353,14.3688135,9
4.1219044,10.9906,6
1.5741795,8.2360525,1
2.3769975,9.557232,6
2.2901127,9.954029,6
1.8265635,9.716844,6
-2.9981737,9.158098,7
-1.334166,7.877151,0
-2.0019696,5.334936,4
-0.054177344,10.647136,0
5.3415174,12.326719,1
-1.0811949,17.957865,2
-5.096875,14.275206,9
-3.6178565,10.548938,7
4.844642,10.639878,6
-0.9905952,15.605619,2
11.18486,4.989381,8
1.5040861,13.632387,5
-0.1401248,7.274015,0
3.3505263,10.540002,6
2.8664064,11.542873,6
-1.543314,15.149338,2
-3.074989,8.961501,0
-1.8650594,8.99112,0
-0.8618012,16.182522,2
4.492079,12.367599,5
-2.5192344,13.012854,9
-5.220485,11.839126,7
2.1657076,-0.45919296,3
-4.2529006,9.607822,7
-5.2118177,9.196592,7
2.4845498,9.036494,6
1.3867468,0.62049264,7
1.3439988,0.5895428,3
1.3680615,0.43693194,3
-0.8269943,14.086763,2
-1.4118813,16.150442,2
4.6434736,8.409291,1
-5.0943613,8.874824,7
2.1611123,10.077295,6
-3.7435563,11.483212,9
5.3717895,8.906099,1
4.483811,9.268886,1
2.158547,-0.25545517,3
-5.2200494,13.056615,9
2.2653937,14.925631,5
-5.072475,13.710224,9
5.5439506,10.839771,1
-1.4059379,2.5804868,4
-0.88266295,3.7889895,4
-1.0083085,4.0853543,4
-3.483432,14.471908,9
1.6761225,14.971801,5
3.068594,14.5948305,5
-3.3693752,11.282582,9
-3.820196,11.212435,9
-3.835925,12.813208,9
-3.267105,11.300631,9
-2.806801,1.9735824,4
-2.666299,11.715209,9
-5.648902,10.625122,7
-2.5062206,3.9222379,4
0.99886996,8.827128,6
0.64959496,7.644558,8
0.5169887,8.253838,8
0.79178166,9.471326,0
-2.5165029,9.587567,0
-2.343934,8.503397,0
1.6892328,-1.0972694,3
-5.6678534,10.73761,7
-3.8303776,14.694228,9
-5.3384104,11.707972,9
0.47909835,8.081367,0
-3.2839737,14.136605,9
-1.3510728,12.672606,9
-5.309312,13.662912,9
-1.3298236,5.170039,4
-4.1410823,11.286538,9
-1.7193061,5.1747417,4
-1.4049296,4.223074,4
2.9208422,15.298471,5
-4.819353,14.381669,9
-4.5612707,10.578685,7
-4.264872,10.243326,7
3.5761898,10.212525,6
-4.6904793,9.82232,7
-1.2986103,3.7251704,4
1.4673399,9.02382,0
3.8648493,13.128997,5
-4.6711903,13.125003,9
0.28160024,15.034364,2
-5.497994,10.66051,7
-2.822203,5.8494835,4
4.7419667,8.281121,1
-5.4407215,10.383397,7
9.017977,4.6407948,8
5.4206123,12.103873,1
3.4603257,12.641469,5
2.3843868,13.631958,5
2.5761573,13.759447,5
2.994268,13.741104,5
3.501553,8.140335,1
0.069728605,8.79273,0
4.2374444,13.772578,5
-3.6569858,14.84498,9
-3.7629952,12.636672,9
-6.1443934,8.953373,7
9.896492,4.4217787,8
-3.5742667,13.193095,9
-3.671437,13.630408,9
5.235463,10.675801,6
-0.97341645,2.8705788,4
-1.7516983,15.485117,7
0.43019927,14.173194,2
1.3579997,13.106681,5
3.3722582,14.501803,5
-0.48119113,4.5160527,4
-0.77443814,16.9103,2
-1.120145,5.0654864,4
-0.29692632,15.655288,2
-0.9059727,5.090309,4
-4.7787967,11.227274,7
-0.34734297,16.395033,2
0.93648714,7.3458343,8
-0.4190761,14.257891,2
4.358809,6.6666875,1
-1.4207741,19.097092,2
5.58859,7.273904,1
-1.6795157,11.759557,9
5.822104,9.038513,1
-7.3460236,9.938344,7
-0.48331577,5.0913115,4
-1.8633045,12.408373,9
3.4782825,12.709084,5
-5.6536613,9.787352,7
2.8896255,6.8260593,4
3.206829,10.020567,6
-1.043107,3.443483,4
4.143841,9.98728,6
4.7174816,13.0275755,5
3.1195772,15.104599,5
3.4427006,13.287974,5
2.499592,14.370119,5
8.853602,4.430994,8
-0.5419385,5.0257506,4
-3.872029,11.492112,9
-0.46226433,4.7225056,4
4.17202,9.600737,6
3.761147,6.6475134,1
3.8852842,6.65448,1
3.0422094,11.953245,5
1.4559351,12.586701,5
-1.1479836,3.4938505,4
2.6505525,13.069757,5
1.709602,14.646579,5
1.7309376,-2.5814192,3
1.7130479,-3.269457,3
1.6137203,-1.7395684,3
1.7322016,-1.6800096,3
6.5206785,7.418077,1
-5.5969315,13.911311,9
1.8567126,9.233616,6
3.4613297,14.359867,5
1.9417199,14.597723,5
-6.023531,10.202097,7
-5.717636,10.54476,7
-3.274035,1.9766299,4
-2.3820398,4.0971518,4
-1.9882916,6.802373,0
-2.4267442,2.0023904,4
4.3537197,8.658774,1
0.86088216,12.743024,5
3.1317708,14.520077,5
1.039578,14.039421,5
3.971122,11.0292015,6
9.507145,4.361984,8
6.712885,6.0344944,1
9.961633,4.5107927,8
12.712104,5.6656585,8
9.64036,4.3760896,8
0.88158065,9.303052,0
6.7339783,8.903847,1
-1.2559127,8.055192,0
